"Evaluation Overview, all Databases, Test Series LARGE"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","Virtuoso","MongoDB"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"7.61","2.92","0.54","7.61"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"9774.44"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"3.91","1.89","0.94","3.91"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"9473.92"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"6.30","7.01","5.24","6.30"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"8887.14"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"3441.43","2919.83","2650.93","3441.43"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"8950.74"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"3729.64","3088.30","2800.07","3729.64"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"8819.23"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"4471.19","3912.75","3662.40","4471.19"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"13177.38"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"3209.76","2714.04","2447.67","3209.76"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"13137.28"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"3102.20","2675.42","2432.18","3102.20"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"13170.99"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"3320.64","2685.78","2430.87","3320.64"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"13272.60"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"11207.82","7171.27","5190.82","11207.82"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"5485.72"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"81131.34","70342.26","71789.50","81131.34"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"19235.51"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"7066.93","6119.93","5792.11","7066.93"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"11432.95"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"7008.94","6815.17","6706.41","7008.94"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"3342.49"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"1523.93","1470.21","1438.90","1523.93"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"3360.69"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"6744.54","6680.60","6639.35","6744.54"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"11.72"
