"Evaluation Overview, all Databases, Test Series MEDIUM"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","MongoDB"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"6118.23"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"2459.65","2031.49","2001.93","2164.36","2031.49","2459.65"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"5182.16"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"3538.66","3389.98","3388.95","3439.19","3389.98","3538.66"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"1443.27"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"1.21","0.44","0.46","0.70","0.44","1.21"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"1412.10"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"3470.75","3384.40","3371.56","3408.91","3384.40","3470.75"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"10.58"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"25215.62"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"3456.47"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"169049.59"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"4841.35"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"503979.41"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"24.04"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"57.96"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"3809.45"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"157066.50"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"5607.18"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"12806.84"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"3404.44"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"15042.79"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"1920.53"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"97.68"

"Evaluation Details for MongoDB, Version 3.0.6, Test Series MEDIUM"
QueryScenario,Phase,1st Exec,2nd Exec,3rd Exec,Average time,Min time,Max time
Set up,,"7.42"
Load,,"688359.59"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"15847.46"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"1064.41","940.48","992.86","999.25","940.48","1064.41"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"12924.41"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"9480.23","9674.86","9427.21","9527.43","9480.23","9674.86"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"12830.62"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"98832.38","99950.01","99219.20","99333.86","98832.38","99950.01"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"4166.53","4162.24","3802.95","4043.91","4162.24","4166.53"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"3851.31","3842.43","3918.42","3870.72","3842.43","3851.31"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"5047.42","5338.55","5301.05","5229.01","5047.42","5338.55"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"3121.95","3083.72","2985.64","3063.77","3083.72","3121.95"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"2867.48","2687.86","2719.70","2758.35","2687.86","2867.48"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"2800.85","2847.12","3113.52","2920.50","2800.85","2847.12"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"0.00"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"3642.24","3765.52","3620.67","3676.14","3642.24","3765.52"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"0.00"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"16023.49","16218.87","15715.56","15985.97","16023.49","16218.87"
