"Evaluation Overview, all Databases, Test Series TINY"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"0.75"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"0.89"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.60"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"3.51"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"0.90"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"0.08"

Verify Results
QueryScenario,"sqlite4java"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,"-240218174"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,"788667954"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,"-1698859861"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,"767071597"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,"1682382423"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,"1682382423"
AGGREGATE_ISSUES_PER_DECADE_TOP10,"-2058395625"
AGGREGATE_ISSUES_PER_DECADE_TOP100,"-1270679685"
AGGREGATE_ISSUES_PER_DECADE_ALL,"-1270679685"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,"1045246667"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,"-1286262030"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,"-1780262344"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,"223549283"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,"223549283"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,"223549283"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,"1261058530"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,""
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,""
SCHEMA_CHANGE_REMOVE_RDF_TYPE,""
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,"1261058530"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,"1261058530"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,"1261058530"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,"1261058530"

