"Evaluation Overview, all Databases, Test Series SMALL"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","Virtuoso","Fuseki","MongoDB","ArangoDB"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"489.95"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"5.32"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"91227.25"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"1.15"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"0.19"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"1.01"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"3837.52"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"1.45"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"328.60"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"Error"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"Error"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"883.94"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"11342.42"

"Evaluation Details for Fuseki, Version 2.3.0 2015-07-25T17:11:28+0000 / jena-libs 2.13.0, Test Series SMALL"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"0.00"
Load,,"30703.51"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"3077.42"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"75.06","36.11","17.45","75.06"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"2130.68"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"55.45","37.88","28.46","55.45"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"2606.01"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"156.88","136.14","128.16","156.88"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"0.95"
